id, title, rating, ratingcount, watchedcount, wishcount,url, genre
1292052,"肖申克的救赎",9.5,446159,613462,37668,"null","犯罪,剧情,"
1291546,"霸王别姬",9.4,290639,400508,34993,"null","剧情,爱情,战争"
1295644,"这个杀手不太冷",9.4,421515,583633,31854,"null","犯罪,剧情,惊悚"
1292063,"美丽人生",9.4,204103,278275,70444,"null","剧情,爱情,战争"
1292720,"阿甘正传",9.3,385850,553414,23265,"null","剧情,爱情,"
3442220,"海豚湾",9.4,112768,141229,53909,"null","纪录片,,"
1295124,"辛德勒的名单",9.3,196519,278447,61478,"null","剧情,历史,战争"
2131459,"机器人总动员",9.3,275476,350427,29765,"null","喜剧,爱情,科幻"
3541415,"盗梦空间",9.2,430406,553827,59849,"null","动作,科幻,悬疑"
1293182,"十二怒汉",9.3,63694,82222,46024,"null","剧情,,"
1291841,"教父",9.2,172840,247166,53581,"null","犯罪,剧情,惊悚"
1292001,"海上钢琴师",9.1,336485,466017,44480,"null","剧情,爱情,音乐"
1300267,"乱世佳人",9.2,150323,220947,34879,"null","剧情,爱情,战争"
1291828,"天堂电影院",9.1,167519,233031,65790,"null","喜剧,剧情,爱情"
3793023,"三傻大闹宝莱坞",9.1,329989,422036,32261,"null","剧情,喜剧,爱情"
1291549,"放牛班的春天",9.1,234965,323399,41430,"null","剧情,音乐,"
1291560,"龙猫",9.1,212576,297540,22185,"null","动画,冒险,家庭"
1291858,"鬼子来了",9.1,108912,148400,34396,"null","喜剧,剧情,战争"
1292000,"搏击俱乐部",9.1,218313,290330,49385,"null","剧情,悬疑,惊悚"
1293350,"两杆大烟枪",9.1,137878,182545,48416,"null","犯罪,惊悚,"
1291561,"千与千寻",9.0,318778,445694,14830,"null","剧情,动画,悬疑"
3011091,"忠犬八公的故事",9.0,189937,244729,32892,"null","剧情,,"
1418019,"大闹天宫",9.2,47102,69361,7790,"null","动画,家庭,奇幻"
1929463,"少年派的奇幻漂流",9.0,307447,361862,61923,"null","剧情,奇幻,冒险"
1303021,"小鞋子",9.1,68755,93731,44624,"null","剧情,家庭,儿童"
1900841,"窃听风暴",9.0,100765,129834,41580,"null","剧情,惊悚,"
1299131,"教父2",9.0,93669,135533,22215,"null","剧情,惊悚,犯罪"
1292224,"飞越疯人院",9.0,143766,203272,60126,"null","剧情,,"
6786002,"触不可及",9.0,147722,181497,72494,"null","剧情,喜剧,"
1292262,"美国往事",9.0,87271,123993,67971,"null","犯罪,剧情,"
1295399,"七武士",9.1,34962,48077,30433,"null","动作,冒险,剧情"
1291552,"指环王3：王者无敌",9.0,148646,206454,9350,"null","剧情,动作,奇幻"
1292722,"泰坦尼克号",8.9,344324,492617,8208,"null","剧情,爱情,历史"
1292213,"西游记大结局之仙履奇缘",8.9,201016,285490,4041,"null","动作,冒险,喜剧"
3072124,"玛丽和马克思",8.9,147357,179881,52396,"null","剧情,喜剧,爱情"
1293839,"罗马假日",8.9,217094,318588,26659,"null","喜剧,剧情,爱情"
1292281,"迁徙的鸟",9.1,35056,50176,23341,"null","纪录片,,"
1296909,"虎口脱险",9.0,63921,88808,16503,"null","喜剧,战争,"
1291583,"天空之城",8.9,171206,241301,25056,"null","动作,爱情,动画"
1292064,"楚门的世界",8.9,207922,280051,36513,"null","剧情,,"
1787291,"被嫌弃的松子的一生",8.9,103243,132086,52698,"null","喜剧,剧情,歌舞"
1296736,"钢琴家",8.9,109145,147233,38768,"null","传记,剧情,战争"
1292208,"上帝之城",8.9,81182,108688,35517,"null","犯罪,剧情,"
3443389,"海洋",8.9,67743,86345,45671,"null","纪录片,剧情,"
1292365,"活着",8.9,124820,174540,32006,"null","剧情,家庭,"
1292215,"天使爱美丽",8.8,289128,411246,41318,"null","喜剧,奇幻,爱情"
1294408,"音乐之声",8.9,137676,199162,15745,"null","剧情,爱情,歌舞"
1858711,"玩具总动员3",8.9,121026,151805,27657,"null","喜剧,动画,家庭"
2129039,"飞屋环游记",8.8,283818,364605,33303,"null","剧情,喜剧,动画"
1298624,"闻香识女人",8.8,170037,234918,47136,"null","剧情,,"
1291572,"指环王2：双塔奇兵",8.8,140881,195866,7573,"null","剧情,动作,奇幻"
1292434,"一一",8.9,79773,109450,61250,"null","剧情,爱情,音乐"
3319755,"怦然心动",8.8,238814,308154,75030,"null","剧情,喜剧,爱情"
1851857,"蝙蝠侠：黑暗骑士",8.8,151033,189883,19498,"null","动作,犯罪,剧情"
1293460,"雨中曲",8.9,48276,67541,31249,"null","喜剧,歌舞,爱情"
1299398,"西游记第一百零一回之月光宝盒",8.8,173355,249545,2844,"null","动作,冒险,喜剧"
1849031,"当幸福来敲门",8.8,295543,407194,31362,"null","剧情,传记,"
1291571,"指环王1：魔戒再现",8.8,159176,220510,9991,"null","剧情,动作,奇幻"
3217169,"勇士",8.9,43228,50635,22823,"null","剧情,动作,家庭"
1306029,"美丽心灵",8.8,161420,223623,44218,"null","传记,剧情,"
4917726,"阳光姐妹淘",8.8,108718,134619,30993,"null","剧情,,"
3742360,"让子弹飞",8.8,380231,490028,25082,"null","剧情,喜剧,动作"
1291548,"死亡诗社",8.8,139631,187288,56742,"null","剧情,,"
4848115,"你看起来好像很好吃",8.8,96468,120446,44866,"null","剧情,动画,儿童"
1291832,"低俗小说",8.8,167065,228426,52262,"null","剧情,犯罪,惊悚"
1292220,"情书",8.7,204232,292462,48000,"null","剧情,爱情,"
1291818,"饮食男女",8.8,66816,91508,26325,"null","剧情,爱情,家庭"
6534248,"无敌破坏王",8.8,74162,84230,36039,"null","喜剧,动画,家庭"
1307914,"无间道",8.7,196043,280066,7949,"null","犯罪,悬疑,惊悚"
1292223,"七宗罪",8.7,245314,337413,37761,"null","犯罪,剧情,悬疑"
1293318,"萤火虫之墓",8.7,117164,160372,26595,"null","动画,剧情,战争"
1291545,"大鱼",8.7,136606,180763,52811,"null","剧情,家庭,奇幻"
1294639,"勇敢的心",8.7,183304,265371,29357,"null","动作,传记,剧情"
1293359,"菊次郎的夏天",8.8,90045,123709,59682,"null","剧情,喜剧,"
1301753,"狮子王",8.7,165282,240138,5956,"null","剧情,动画,歌舞"
1652587,"阿凡达",8.7,327585,418596,31838,"null","动作,冒险,奇幻"
1291875,"阳光灿烂的日子",8.7,148697,215805,29869,"null","剧情,,"
1292370,"剪刀手爱德华",8.7,280620,396114,35562,"null","剧情,奇幻,爱情"
1780330,"致命魔术",8.7,168481,210403,38471,"null","剧情,奇幻,悬疑"
2149806,"入殓师",8.7,189235,244304,42664,"null","剧情,,"
1295865,"燃情岁月",8.7,92922,128090,33760,"null","剧情,爱情,家庭"
1292270,"梦之安魂曲",8.8,49936,63860,39326,"null","剧情,,"
1306861,"我是山姆",8.8,51190,66228,35165,"null","剧情,家庭,"
1297359,"幽灵公主",8.7,129600,178550,15416,"null","动画,冒险,奇幻"
3792799,"岁月神偷",8.7,177262,224192,43444,"null","剧情,家庭,"
1292849,"拯救大兵瑞恩",8.7,122191,173299,23779,"null","动作,剧情,历史"
5964718,"一次别离",8.8,57887,71166,54953,"null","剧情,家庭,"
1297630,"第六感",8.7,123915,161635,37568,"null","剧情,悬疑,惊悚"
5960606,"再见我们的幼儿园",8.7,61182,76530,57786,"null","剧情,,"
1300960,"碧海蓝天",8.7,73120,104780,48461,"null","冒险,剧情,爱情"
1293964,"魂断蓝桥",8.7,82284,123465,27712,"null","剧情,战争,爱情"
1316510,"射雕英雄传之东成西就",8.7,142607,200522,6672,"null","喜剧,,"
5322596,"超脱",8.7,68661,85149,70748,"null","剧情,,"
2353023,"驯龙高手",8.7,137940,169843,28499,"null","剧情,喜剧,动画"
1291822,"卢旺达饭店",8.7,54130,72333,33379,"null","剧情,历史,战争"
3007773,"海盗电台",8.7,102101,126688,43780,"null","喜剧,剧情,音乐"
3920977,"就是这样",8.7,64356,84487,27805,"null","纪录片,音乐,"
1291990,"爱在日落黄昏时",8.7,93396,125621,80470,"null","剧情,爱情,"
1296339,"爱在黎明破晓前",8.7,93664,125541,70365,"null","剧情,爱情,"
